NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
;;;;;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;;;;;
32;Cimanggis;2;MT. Subulassalam;MT. 622633020038;;Palsigunung, RT. 002/004;;;;
;;;;;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;;;;;
33;Cimanggis;2;MT. Asmaul Husna;MT. 622633020039;;Jl. H. Ramin No. 19, RT. 03/09;;;;
;;;;;;Kel. Mekarsari, Cimanggis;;;;
;;;;;;;;;;
34;Cimanggis;2;MT. Ngopi;MT. 622633020040;;Jl. Alamanda Areman,RT. 10/07;;;;
;;;;;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;;;;;
35;Cimanggis;2;MT. Raudhatus Salamah;MT. 622633020041;;Jl. Raya Bogor, KM. 30, Gg. Roda;;;;
;;;;;;Palsigunung, RT. 03/02;;;;
;;;;;;Kel. Mekarsari, Cimanggis;;;;
;;;;;;;;;;
36;Cimanggis;2;MT. Al - Maghfiroh;MT. 622633020042;;Jl. Setu Pedongkelan Areman;;;;
;;;;;;RT. 05/05, Kel. Tugu;;;;
;;;;;;Kec. Cimanggis;;;;
;;;;;;;;;;
37;Cimanggis;2;MT. Darul Muttaqin;MT. 622633020043;;Jl. Kelapa Dua Raya, Gg. Inpres;;;;
;;;;;;No. 89, RT. 01/11, Kel. Tugu;;;;
;;;;;;Kec. Cimanggis;;;;
;;;;;;;;;;
38;Cimanggis;2;MT. Bani Noin;MT. 622633020044;;Jl. RTM, Gg. H. Muin;;;;
;;;;;;Kelapa Dua, Tugu, Cimanggis;;;;
;;;;;;;;;;
39;Cimanggis;2;MT. Malam Senin;MT. 622633020045;;Jl. Alamanda Areman, RT. 08/07;;;;
;;;;;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;;;;;
40;Cimanggis;2;MT. As Syifa;MT. 622633020046;;Areman RT. 001/008;;;;
;;;;;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;;;;;
41;Cimanggis;2;MT. Al - Inayah;MT. 622633020047;;Gg. Utama Areman, RT. 011/008;;;;
;;;;;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;;;;;
42;Cimanggis;2;MT. Muchtariyah;MT. 622633020048;;Jl. Akses UI, Gg. H. Muchtar;;;;
;;;;;;Kelapa Dua, RT. 02/09;;;;
;;;;;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;;;;;
43;Cimanggis;2;MT. Khoirunnisa;MT. 622633020049;;Jl. Gotong Royong, Kp. Areman;;;;
;;;;;;RT. 09/08, Tugu, Cimanggis;;;;
;;;;;;;;;;
44;Cimanggis;2;MT. An-Nur;MT. 622633020050;;Jl. H. Hasan Areman, RT. 06/05;;;;
;;;;;;Kel. Tugu, Kec. Cimanggis;;;;
;;;;;;;;;;
45;Cimanggis;2;MT. Miftahul Jannah;MT. 622633020051;;Tipar, RT. 002/010;;;;
;;;;;;Kel. Mekarsari, Cimanggis;;;;
;;;;;;;;;;
46;Cimanggis;2;MT. Nurul Mukhlisin;MT. 622633020052;;Jl. Bhineka IV, Kp. Rumbut;;;;
;;;;;;RT. 005/009, Kel. Pasir Gunung;;;;
;;;;;;Selatan, Cimanggis;;;;
;;;;;;;;;;
47;Cimanggis;2;MT. Sa'adatul Musthofa;MT. 622633020053;;Jl. Persatuan I, No. 28, RT. 08/01;;;;
;;;;;;Kel. Pasir Gunung Selatan;;;;
;;;;;;Cimanggis;;;;
;;;;;;;;;;
48;Cimanggis;2;MT. Darus Sa'adah;MT. 622633020054;;Jl. Persatuan 1, No. 28, RT. 28/8;;;;
;;;;;;Kel. Pasirgunung Selatan;;;;
;;;;;;Kec. Cimanggis, Depok;;;;
;;;;;;;;;;
49;Cimanggis;2;MT. Al Jannah;MT. 622633020055;;Jl. Bungur Raya, Gang Damai;;;;
;;;;;;No. 44, RT. 002/007, Cimanggis;;;;
;;;;;;;;;;
50;Cimanggis;2;MT. Zikir dan Sholawat;MT. 622633020056;;Gang Adam RT. 009/ RW. 003;;;;
;;;Nurul Qolbi;;;Palsi Gunung, Kel. Tugu;;;;
;;;;;;Cimanggis, Kota Depok;;;;
;;;;;;;;;;
