NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
31;Cilodong;8;Darul Ulum;MT. 622633080031;;Jl Meran, RT. 04/05;;;;
;;;;;;Cilodong, Kec. Cilodong;;;;
;;;;;;;;;;
32;Cilodong;8;Al Amanah;MT. 622633080032;;Jl Meran, RT. 03/05;;;;
;;;;;;Cilodong, Kec. Cilodong;;;;
;;;;;;;;;;
33;Cilodong;8;Ar Rahman;MT. 622633080033;;Jl. Abdul Gani I, RT. 04/02;;;;
;;;;;;Kel, Kalibaru, Kec. Cilodong;;;;
;;;;;;;;;;
34;Cilodong;8;Nurul Hikmah;MT. 622633080034;;Jl. H. Jaba, Cilodong RT. 04/06;;;;
;;;;;;Kel. Kalibaru, Kec. Cilodong;;;;
;;;;;;;;;;
35;Cilodong;8;Nurul Yaqin;MT. 622633080035;;Jl. Mandor Samin, RT. 04/06;;;;
;;;;;;Kel. Kalibaru, Kec. Cilodong;;;;
;;;;;;;;;;
36;Cilodong;8;Daarul Amanah;MT. 622633080036;;Jl. Raya Kalimulya, Gg. H. Alim;;;;
;;;;;;RT. 02/05, Kel. Kalimulya;;;;
;;;;;;Kec. Cilodong;;;;
;;;;;;;;;;
39;Cilodong;8;Arrahmaniyah;MT. 622633080039;;;;;;
;;;;;;;;;;
41;Cilodong;8;MT. Baiturrahman;MT. 622633080041;;Jl. Kp. Sawah No. 12B;;;;
;;;;;;RT. 02/03, Kel. Jatimulya;;;;
;;;;;;;;;;
42;Cilodong;8;01/03/MTA/2022;MT. 622633080042;;Jl. H. Abdul Gani, RT. 11/04;;;;
;;;;;;Kalibaru;;;;
;;;;;;;;;;
45;Cilodong;8;MT. Al Amanah;MT. 622633080045;;Jl. H. Daing RT. 01/03, Kalimulya;;;;
;;;;;;;;;;
46;Cilodong;8;MT. An Nuriyah;MT. 622633080046;;Kp. Kebonduren RT. 04/02;;;;
;;;;;;Kalimulya;;;;
;;;;;;;;;;
47;Cilodong;8;MT. Himmatul Aliyyah;MT. 622633080047;;Kebonduren, RT. 03/04;;;;
;;;;;;Kalimulya;;;;
;;;;;;;;;;
48;Cilodong;8;MT. Al Muthmainah;MT. 622633080048;;Kebonduren, RT. 04/04;;;;
;;;;;;Kalimulya;;;;
;;;;;;;;;;
49;Cilodong;8;MT. Nurul Hikmah;MT. 622633080049;;Jl. Majelis Kebon Duren RT. 01/03;;;;
;;;;;;Kalimulya;;;;
;;;;;;;;;;
